coordinate_system,phase_group,quadrant,q90_point_count,q95_rate_percent
fixed,decay,2,1336537,49.752714677399446
fixed,intensification,1,2890323,57.11760043051034
fixed,mature,2,760373,60.39262458052368
fixed,intensification,4,1171334,50.39344092176859
fixed,incipient,3,245129,42.60963570350426
fixed,decay,3,658485,45.94542064248881
fixed,mature,3,336291,55.28336108468126
fixed,missing,3,94891,47.081695661794924
fixed,residual,3,32188,54.73468373306822
fixed,missing,1,165112,48.23698162539037
fixed,residual,1,54547,52.49592109846193
fixed,intensification,3,1055291,48.41425131873307
fixed,incipient,4,300354,46.137384977530495
fixed,incipient,1,557747,52.67479093536601
fixed,missing,4,98861,45.54373675359954
fixed,residual,4,25936,43.14300034699464
fixed,decay,4,829359,49.925625976347256
fixed,mature,4,411694,59.53945291823881
fixed,missing,2,149149,45.027487262000534
fixed,residual,2,39120,52.67893660531697
fixed,incipient,2,476938,43.111054267011646
fixed,decay,1,1878390,55.491694040956055
fixed,intensification,2,2524051,51.91525269292174
fixed,mature,1,1077479,66.68905922491439
rotated,missing,3,112222,46.64853792908603
rotated,residual,3,28932,44.21401907922024
rotated,incipient,1,421866,42.42566443411117
rotated,missing,4,169393,47.15593629485708
rotated,residual,4,58507,55.5453007229657
rotated,missing,1,143046,46.42971971762074
rotated,residual,1,42542,51.482029946172105
rotated,missing,2,83352,45.40300685332919
rotated,residual,2,21810,49.78908757450711
rotated,incipient,4,589434,51.36996515773918
rotated,intensification,3,1512561,51.253796461536325
rotated,decay,4,1866026,55.654356707521266
rotated,mature,4,1089320,67.14339345885925
rotated,incipient,3,350415,48.022858049023604
rotated,intensification,4,3145922,57.53008582875311
rotated,decay,2,620121,45.50147183523183
rotated,mature,2,290562,54.95497975207038
rotated,intensification,1,2187657,50.65295740270543
rotated,decay,3,864737,48.41868148370626
rotated,mature,3,529408,59.241386731913984
rotated,decay,1,1351887,50.637575578277826
rotated,mature,1,676547,59.730248203576
rotated,intensification,2,794859,46.45492509094932
rotated,incipient,2,218453,42.26450633652141
