phase_group,cyclone_count,cyclone_timestep_count,point_row_count,wind_mean_ms,wind_p05_ms,wind_p25_ms,wind_median_ms,wind_p75_ms,wind_p95_ms,exceeded_15_6_count,exceeded_20_0_count,exceeded_25_0_count,exceeded_q90_count,exceeded_q95_count,exceeded_q99_count
incipient,1124,2368,1583894,11.098663780293705,4.365110397338867,7.453988552093506,12.068350791931152,14.288442611694336,16.494319915771484,163302,2991,7,1580168,744170,124160
intensification,1687,8340,7646684,13.68925330934138,6.207584857940674,12.295358657836914,14.382692337036133,15.792017936706543,18.162508010864258,2144497,90236,1446,7640999,4065379,931839
mature,1024,2051,2586389,15.519086827305756,11.099557876586914,14.226579666137695,15.579566955566406,17.04419708251953,19.768646240234375,1282464,110522,2650,2585837,1609150,495911
decay,1439,6355,4704434,14.574202340533798,8.471611976623535,13.427017211914062,14.97111701965332,16.2902889251709,18.666645050048828,1749539,77793,208,4702771,2424775,511199
residual,66,237,151794,14.196032690551423,9.492110252380371,12.826812744140625,14.536384582519531,15.898406982421875,18.256629943847656,45653,1397,43,151791,78052,15268
missing,677,750,509788,13.064701054030596,5.262386322021484,11.3126220703125,14.050561904907227,15.545714378356934,18.001001358032227,123409,4991,96,508013,237316,42218
