stratum,contrast,metric,difference,ci95_low,bootstrap_median,ci95_high,probability_difference_below_zero
all,motion_minus_centered_equal_cyclone,anisotropy_axis_ratio,0.02586945227344617,,,,
incipient,centered_equal_cyclone_minus_equal_state,entropy_nats,-0.011329526167603632,,,,
incipient,centered_equal_cyclone_minus_equal_state,area50_km2,-32500.0,,,,
incipient,centered_equal_cyclone_minus_equal_state,area75_km2,-10000.0,,,,
incipient,centered_equal_cyclone_minus_equal_state,area90_km2,-5000.0,,,,
incipient,centered_equal_cyclone_minus_equal_state,rms_about_centroid_km,12.90181131777706,,,,
incipient,centered_equal_cyclone_minus_equal_state,centroid_x_km,-9.595084038754464,,,,
incipient,centered_equal_cyclone_minus_equal_state,centroid_y_km,5.639609060400431,,,,
incipient,centered_equal_cyclone_minus_equal_state,centroid_distance_km,10.59068975138132,,,,
incipient,centered_equal_cyclone_minus_equal_state,anisotropy_axis_ratio,0.006616543421320564,,,,
incipient,motion_equal_cyclone_minus_equal_state,entropy_nats,-0.007438265017590595,,,,
incipient,motion_equal_cyclone_minus_equal_state,area50_km2,-17500.0,,,,
incipient,motion_equal_cyclone_minus_equal_state,area75_km2,-12500.0,,,,
incipient,motion_equal_cyclone_minus_equal_state,area90_km2,-7500.0,,,,
incipient,motion_equal_cyclone_minus_equal_state,rms_about_centroid_km,14.076786044044184,,,,
incipient,motion_equal_cyclone_minus_equal_state,centroid_x_km,-2.626456080350195,,,,
incipient,motion_equal_cyclone_minus_equal_state,centroid_y_km,-7.132201032070384,,,,
incipient,motion_equal_cyclone_minus_equal_state,centroid_distance_km,7.377397411961226,,,,
incipient,motion_equal_cyclone_minus_equal_state,anisotropy_axis_ratio,-0.012145548589578503,,,,
incipient,motion_minus_centered_equal_state,entropy_nats,0.029204873828712508,,,,
incipient,motion_minus_centered_equal_state,area50_km2,50000.0,,,,
incipient,motion_minus_centered_equal_state,area75_km2,92500.0,,,,
