representation,weighting,bin_x_center_km,bin_y_center_km,probability_mass
centered,equal_state,-1075.0,-1075.0,0.0
centered,equal_state,-1025.0,-1075.0,0.0
centered,equal_state,-975.0,-1075.0,0.0
centered,equal_state,-925.0,-1075.0,0.0
centered,equal_state,-875.0,-1075.0,0.0
centered,equal_state,-825.0,-1075.0,0.0
centered,equal_state,-775.0,-1075.0,0.0
centered,equal_state,-725.0,-1075.0,0.0
centered,equal_state,-675.0,-1075.0,0.0
centered,equal_state,-625.0,-1075.0,0.0
centered,equal_state,-575.0,-1075.0,0.0
centered,equal_state,-525.0,-1075.0,0.0
centered,equal_state,-475.0,-1075.0,0.0
centered,equal_state,-425.0,-1075.0,0.0
centered,equal_state,-375.0,-1075.0,0.0
centered,equal_state,-325.0,-1075.0,5.300238608847145e-05
centered,equal_state,-275.0,-1075.0,0.0003019813972221824
centered,equal_state,-225.0,-1075.0,0.0004617012522097551
centered,equal_state,-175.0,-1075.0,0.0006496771570470379
centered,equal_state,-125.0,-1075.0,0.0006346457898627072
centered,equal_state,-75.0,-1075.0,0.0005983888084810639
centered,equal_state,-25.0,-1075.0,0.0004526575587079972
centered,equal_state,25.0,-1075.0,0.0003839971644994607
centered,equal_state,75.0,-1075.0,0.00035296791704877826
centered,equal_state,125.0,-1075.0,0.00039971134826826245
centered,equal_state,175.0,-1075.0,0.0004499090951832171
centered,equal_state,225.0,-1075.0,0.0004874377595802806
centered,equal_state,275.0,-1075.0,0.0002804546821272067
centered,equal_state,325.0,-1075.0,4.394757509209929e-05
centered,equal_state,375.0,-1075.0,0.0
centered,equal_state,425.0,-1075.0,0.0
centered,equal_state,475.0,-1075.0,0.0
centered,equal_state,525.0,-1075.0,0.0
centered,equal_state,575.0,-1075.0,0.0
centered,equal_state,625.0,-1075.0,0.0
centered,equal_state,675.0,-1075.0,0.0
centered,equal_state,725.0,-1075.0,0.0
centered,equal_state,775.0,-1075.0,0.0
centered,equal_state,825.0,-1075.0,0.0
centered,equal_state,875.0,-1075.0,0.0
centered,equal_state,925.0,-1075.0,0.0
centered,equal_state,975.0,-1075.0,0.0
centered,equal_state,1025.0,-1075.0,0.0
centered,equal_state,1075.0,-1075.0,0.0
centered,equal_state,-1075.0,-1025.0,0.0
centered,equal_state,-1025.0,-1025.0,0.0
