track_id,eligible_states,q95_positive_states,eligible_duration_hours,q95_positive_duration_hours,eligible_time_span_hours,equal_state_mass_fraction,equal_cyclone_mass_fraction,equal_state_contribution_rank
20100350,15,14,90,84,84.0,0.0008273742686602446,0.0005691519635742744,349
20100355,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1291
20100371,11,11,66,66,60.0,0.0006500797825187637,0.0005691519635742744,566
20100376,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,993
20100379,12,3,72,18,66.0,0.000177294486141481,0.0005691519635742744,1565
20100385,7,1,42,6,36.0,5.9098162047160334e-05,0.0005691519635742744,1710
20100418,4,4,24,24,18.0,0.00023639264818864133,0.0005691519635742744,1455
20100436,11,11,66,66,60.0,0.0006500797825187637,0.0005691519635742744,567
20100437,11,4,66,24,60.0,0.00023639264818864133,0.0005691519635742744,1456
20100445,19,12,114,72,108.0,0.000709177944565924,0.0005691519635742744,487
20100453,15,13,90,78,84.0,0.0007682761066130844,0.0005691519635742744,422
20100459,26,18,156,108,150.0,0.001063766916848886,0.0005691519635742744,147
20100481,17,11,102,66,96.0,0.0006500797825187637,0.0005691519635742744,568
20100491,4,0,24,0,18.0,0.0,0.0,1758
20100502,31,23,186,138,180.0,0.0013592577270846876,0.0005691519635742744,45
20100507,7,6,42,36,36.0,0.000354588972282962,0.0005691519635742744,1130
20100510,26,25,156,150,150.0,0.0014774540511790083,0.0005691519635742744,27
20100534,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,865
20100540,5,4,30,24,24.0,0.00023639264818864133,0.0005691519635742744,1457
20100541,8,7,48,42,42.0,0.0004136871343301223,0.0005691519635742744,994
20100543,6,5,36,30,30.0,0.00029549081023580166,0.0005691519635742744,1292
20100545,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1293
20100560,16,15,96,90,90.0,0.000886472430707405,0.0005691519635742744,284
20100583,6,1,36,6,30.0,5.9098162047160334e-05,0.0005691519635742744,1711
20100596,22,20,132,120,126.0,0.0011819632409432066,0.0005691519635742744,88
20100601,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1131
20100609,23,20,138,120,138.0,0.0011819632409432066,0.0005691519635742744,89
20100650,15,13,90,78,90.0,0.0007682761066130844,0.0005691519635742744,423
20100651,12,11,72,66,66.0,0.0006500797825187637,0.0005691519635742744,569
20100655,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,751
20100664,11,6,66,36,60.0,0.000354588972282962,0.0005691519635742744,1132
20100675,12,12,72,72,66.0,0.000709177944565924,0.0005691519635742744,488
20100676,24,17,144,102,138.0,0.0010046687548017257,0.0005691519635742744,187
20100680,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1294
20100682,21,15,126,90,120.0,0.000886472430707405,0.0005691519635742744,285
20100690,10,10,60,60,54.0,0.0005909816204716033,0.0005691519635742744,656
20100705,22,19,132,114,126.0,0.0011228650788960464,0.0005691519635742744,115
20100707,9,5,54,30,48.0,0.00029549081023580166,0.0005691519635742744,1295
20100714,6,3,36,18,30.0,0.000177294486141481,0.0005691519635742744,1566
20100715,14,9,84,54,78.0,0.000531883458424443,0.0005691519635742744,752
20100718,15,14,90,84,84.0,0.0008273742686602446,0.0005691519635742744,350
20100730,21,20,126,120,126.0,0.0011819632409432066,0.0005691519635742744,90
20100731,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,753
20100735,14,14,84,84,78.0,0.0008273742686602446,0.0005691519635742744,351
20100744,7,6,42,36,36.0,0.000354588972282962,0.0005691519635742744,1133
20100745,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1296
20100751,11,1,66,6,60.0,5.9098162047160334e-05,0.0005691519635742744,1712
20100759,27,24,162,144,156.0,0.001418355889131848,0.0005691519635742744,32
20100760,16,2,96,12,90.0,0.00011819632409432067,0.0005691519635742744,1643
20100761,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1297
20100769,12,12,72,72,66.0,0.000709177944565924,0.0005691519635742744,489
20100772,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1134
20100803,9,5,54,30,48.0,0.00029549081023580166,0.0005691519635742744,1298
20100814,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,754
20100822,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,755
20100833,11,5,66,30,60.0,0.00029549081023580166,0.0005691519635742744,1299
20100840,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,866
20100843,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1135
20100845,6,5,36,30,30.0,0.00029549081023580166,0.0005691519635742744,1300
20100850,11,6,66,36,60.0,0.000354588972282962,0.0005691519635742744,1136
20100851,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,995
20100862,10,2,60,12,54.0,0.00011819632409432067,0.0005691519635742744,1644
20100867,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,756
20100872,9,8,54,48,48.0,0.00047278529637728267,0.0005691519635742744,867
20100877,11,1,66,6,60.0,5.9098162047160334e-05,0.0005691519635742744,1713
20100880,13,13,78,78,72.0,0.0007682761066130844,0.0005691519635742744,424
20100896,14,13,84,78,78.0,0.0007682761066130844,0.0005691519635742744,425
20100897,11,10,66,60,60.0,0.0005909816204716033,0.0005691519635742744,657
20100901,17,1,102,6,96.0,5.9098162047160334e-05,0.0005691519635742744,1714
20100905,10,9,60,54,60.0,0.000531883458424443,0.0005691519635742744,757
20100917,26,16,156,96,150.0,0.0009455705927545653,0.0005691519635742744,231
20100924,9,7,54,42,48.0,0.0004136871343301223,0.0005691519635742744,996
20100929,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,997
20100937,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1301
20100953,20,19,120,114,126.0,0.0011228650788960464,0.0005691519635742744,116
20100954,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1137
20100959,9,8,54,48,48.0,0.00047278529637728267,0.0005691519635742744,868
20100960,14,11,84,66,78.0,0.0006500797825187637,0.0005691519635742744,570
20100974,13,6,78,36,72.0,0.000354588972282962,0.0005691519635742744,1138
20100983,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1139
20100997,32,17,192,102,186.0,0.0010046687548017257,0.0005691519635742744,188
20100999,16,12,96,72,90.0,0.000709177944565924,0.0005691519635742744,490
20101006,6,2,36,12,30.0,0.00011819632409432067,0.0005691519635742744,1645
20101019,30,13,180,78,174.0,0.0007682761066130844,0.0005691519635742744,426
20101027,11,8,66,48,60.0,0.00047278529637728267,0.0005691519635742744,869
20101034,5,4,30,24,24.0,0.00023639264818864133,0.0005691519635742744,1458
20101036,6,3,36,18,30.0,0.000177294486141481,0.0005691519635742744,1567
20101040,23,23,138,138,144.0,0.0013592577270846876,0.0005691519635742744,46
20101053,20,20,120,120,120.0,0.0011819632409432066,0.0005691519635742744,91
20101055,5,2,30,12,24.0,0.00011819632409432067,0.0005691519635742744,1646
20101064,10,4,60,24,54.0,0.00023639264818864133,0.0005691519635742744,1459
20101068,27,23,162,138,156.0,0.0013592577270846876,0.0005691519635742744,47
20101069,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1140
20101072,9,4,54,24,48.0,0.00023639264818864133,0.0005691519635742744,1460
20101078,28,24,168,144,162.0,0.001418355889131848,0.0005691519635742744,33
20101090,14,10,84,60,78.0,0.0005909816204716033,0.0005691519635742744,658
20101091,21,15,126,90,126.0,0.000886472430707405,0.0005691519635742744,286
20101094,12,10,72,60,66.0,0.0005909816204716033,0.0005691519635742744,659
20101110,11,9,66,54,60.0,0.000531883458424443,0.0005691519635742744,758
20101114,15,13,90,78,84.0,0.0007682761066130844,0.0005691519635742744,427
20101141,29,18,174,108,174.0,0.001063766916848886,0.0005691519635742744,148
20101143,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1302
20101146,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1141
20101148,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1142
20101159,5,2,30,12,24.0,0.00011819632409432067,0.0005691519635742744,1647
20101161,15,15,90,90,84.0,0.000886472430707405,0.0005691519635742744,287
20101166,26,16,156,96,222.0,0.0009455705927545653,0.0005691519635742744,232
20101168,6,2,36,12,30.0,0.00011819632409432067,0.0005691519635742744,1648
20101169,11,7,66,42,60.0,0.0004136871343301223,0.0005691519635742744,998
20101174,28,26,168,156,180.0,0.0015365522132261688,0.0005691519635742744,18
20101185,16,10,96,60,90.0,0.0005909816204716033,0.0005691519635742744,660
20110008,14,14,84,84,78.0,0.0008273742686602446,0.0005691519635742744,352
20110010,24,12,144,72,156.0,0.000709177944565924,0.0005691519635742744,491
20110013,37,35,222,210,216.0,0.002068435671650612,0.0005691519635742744,1
20110017,16,15,96,90,90.0,0.000886472430707405,0.0005691519635742744,288
20110026,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,870
20110030,15,14,90,84,84.0,0.0008273742686602446,0.0005691519635742744,353
20110037,11,2,66,12,60.0,0.00011819632409432067,0.0005691519635742744,1649
20110040,9,1,54,6,48.0,5.9098162047160334e-05,0.0005691519635742744,1715
20110043,5,4,30,24,24.0,0.00023639264818864133,0.0005691519635742744,1461
20110047,20,16,120,96,114.0,0.0009455705927545653,0.0005691519635742744,233
20110051,14,13,84,78,78.0,0.0007682761066130844,0.0005691519635742744,428
20110056,17,3,102,18,96.0,0.000177294486141481,0.0005691519635742744,1568
20110060,9,6,54,36,48.0,0.000354588972282962,0.0005691519635742744,1143
20110064,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,871
20110066,21,7,126,42,120.0,0.0004136871343301223,0.0005691519635742744,999
20110072,11,8,66,48,60.0,0.00047278529637728267,0.0005691519635742744,872
20110073,18,8,108,48,102.0,0.00047278529637728267,0.0005691519635742744,873
20110077,23,17,138,102,132.0,0.0010046687548017257,0.0005691519635742744,189
20110080,15,4,90,24,84.0,0.00023639264818864133,0.0005691519635742744,1462
20110082,14,6,84,36,78.0,0.000354588972282962,0.0005691519635742744,1144
20110089,7,6,42,36,36.0,0.000354588972282962,0.0005691519635742744,1145
20110093,15,12,90,72,84.0,0.000709177944565924,0.0005691519635742744,492
20110098,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1146
20110104,22,17,132,102,138.0,0.0010046687548017257,0.0005691519635742744,190
20110118,6,5,36,30,30.0,0.00029549081023580166,0.0005691519635742744,1303
20110128,10,2,60,12,54.0,0.00011819632409432067,0.0005691519635742744,1650
20110140,8,6,48,36,42.0,0.000354588972282962,0.0005691519635742744,1147
20110149,17,3,102,18,96.0,0.000177294486141481,0.0005691519635742744,1569
20110153,20,18,120,108,114.0,0.001063766916848886,0.0005691519635742744,149
20110157,10,8,60,48,66.0,0.00047278529637728267,0.0005691519635742744,874
20110165,11,10,66,60,60.0,0.0005909816204716033,0.0005691519635742744,661
20110166,27,14,162,84,156.0,0.0008273742686602446,0.0005691519635742744,354
20110169,5,2,30,12,24.0,0.00011819632409432067,0.0005691519635742744,1651
20110172,32,30,192,180,234.0,0.00177294486141481,0.0005691519635742744,6
20110176,11,7,66,42,60.0,0.0004136871343301223,0.0005691519635742744,1000
20110177,6,0,36,0,30.0,0.0,0.0,1759
20110190,7,2,42,12,36.0,0.00011819632409432067,0.0005691519635742744,1652
20110205,28,23,168,138,168.0,0.0013592577270846876,0.0005691519635742744,48
20110213,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1148
20110219,11,11,66,66,60.0,0.0006500797825187637,0.0005691519635742744,571
20110235,9,3,54,18,48.0,0.000177294486141481,0.0005691519635742744,1570
20110236,13,13,78,78,72.0,0.0007682761066130844,0.0005691519635742744,429
20110241,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,875
20110244,19,14,114,84,114.0,0.0008273742686602446,0.0005691519635742744,355
20110248,23,15,138,90,132.0,0.000886472430707405,0.0005691519635742744,289
20110255,13,13,78,78,72.0,0.0007682761066130844,0.0005691519635742744,430
20110259,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1149
20110269,7,6,42,36,36.0,0.000354588972282962,0.0005691519635742744,1150
20110270,14,1,84,6,78.0,5.9098162047160334e-05,0.0005691519635742744,1716
20110277,22,14,132,84,126.0,0.0008273742686602446,0.0005691519635742744,356
20110283,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1304
20110286,9,8,54,48,48.0,0.00047278529637728267,0.0005691519635742744,876
20110294,13,9,78,54,72.0,0.000531883458424443,0.0005691519635742744,759
20110299,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,760
20110303,6,4,36,24,30.0,0.00023639264818864133,0.0005691519635742744,1463
20110304,11,2,66,12,60.0,0.00011819632409432067,0.0005691519635742744,1653
20110306,12,3,72,18,66.0,0.000177294486141481,0.0005691519635742744,1571
20110314,11,11,66,66,60.0,0.0006500797825187637,0.0005691519635742744,572
20110323,12,11,72,66,66.0,0.0006500797825187637,0.0005691519635742744,573
20110332,18,15,108,90,102.0,0.000886472430707405,0.0005691519635742744,290
20110335,13,10,78,60,84.0,0.0005909816204716033,0.0005691519635742744,662
20110342,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,1001
20110351,13,4,78,24,72.0,0.00023639264818864133,0.0005691519635742744,1464
20110358,31,29,186,174,192.0,0.0017138466993676497,0.0005691519635742744,10
20110362,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,877
20110365,9,8,54,48,48.0,0.00047278529637728267,0.0005691519635742744,878
20110374,21,19,126,114,120.0,0.0011228650788960464,0.0005691519635742744,117
20110398,22,13,132,78,126.0,0.0007682761066130844,0.0005691519635742744,431
20110407,15,13,90,78,84.0,0.0007682761066130844,0.0005691519635742744,432
20110424,5,1,30,6,24.0,5.9098162047160334e-05,0.0005691519635742744,1717
20110427,24,15,144,90,138.0,0.000886472430707405,0.0005691519635742744,291
20110443,11,5,66,30,60.0,0.00029549081023580166,0.0005691519635742744,1305
20110445,18,14,108,84,102.0,0.0008273742686602446,0.0005691519635742744,357
20110459,17,9,102,54,96.0,0.000531883458424443,0.0005691519635742744,761
20110472,16,2,96,12,90.0,0.00011819632409432067,0.0005691519635742744,1654
20110475,14,13,84,78,78.0,0.0007682761066130844,0.0005691519635742744,433
20110485,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,762
20110486,6,4,36,24,30.0,0.00023639264818864133,0.0005691519635742744,1465
20110494,22,22,132,132,126.0,0.0013001595650375274,0.0005691519635742744,58
20110501,11,9,66,54,60.0,0.000531883458424443,0.0005691519635742744,763
20110503,8,0,48,0,42.0,0.0,0.0,1760
20110504,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1306
20110505,6,3,36,18,30.0,0.000177294486141481,0.0005691519635742744,1572
20110508,15,9,90,54,84.0,0.000531883458424443,0.0005691519635742744,764
20110518,10,9,60,54,54.0,0.000531883458424443,0.0005691519635742744,765
20110519,5,4,30,24,24.0,0.00023639264818864133,0.0005691519635742744,1466
20110523,6,0,36,0,30.0,0.0,0.0,1761
20110524,18,15,108,90,102.0,0.000886472430707405,0.0005691519635742744,292
20110532,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1151
20110538,22,20,132,120,144.0,0.0011819632409432066,0.0005691519635742744,92
20110541,15,10,90,60,84.0,0.0005909816204716033,0.0005691519635742744,663
20110550,21,21,126,126,126.0,0.001241061402990367,0.0005691519635742744,75
20110572,13,13,78,78,72.0,0.0007682761066130844,0.0005691519635742744,434
20110573,15,14,90,84,84.0,0.0008273742686602446,0.0005691519635742744,358
20110579,14,14,84,84,78.0,0.0008273742686602446,0.0005691519635742744,359
20110583,21,20,126,120,120.0,0.0011819632409432066,0.0005691519635742744,93
20110587,20,17,120,102,114.0,0.0010046687548017257,0.0005691519635742744,191
20110598,14,11,84,66,78.0,0.0006500797825187637,0.0005691519635742744,574
20110614,9,3,54,18,48.0,0.000177294486141481,0.0005691519635742744,1573
20110617,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,1002
20110629,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1307
20110635,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,1003
20110644,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,879
20110649,20,14,120,84,114.0,0.0008273742686602446,0.0005691519635742744,360
20110655,29,24,174,144,168.0,0.001418355889131848,0.0005691519635742744,34
20110659,8,5,48,30,42.0,0.00029549081023580166,0.0005691519635742744,1308
20110666,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,766
20110669,11,10,66,60,60.0,0.0005909816204716033,0.0005691519635742744,664
20110677,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1309
20110679,22,21,132,126,132.0,0.001241061402990367,0.0005691519635742744,76
20110691,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,1004
20110695,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,767
20110699,8,7,48,42,42.0,0.0004136871343301223,0.0005691519635742744,1005
20110713,20,17,120,102,114.0,0.0010046687548017257,0.0005691519635742744,192
20110715,19,19,114,114,108.0,0.0011228650788960464,0.0005691519635742744,118
20110719,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,1006
20110725,18,17,108,102,102.0,0.0010046687548017257,0.0005691519635742744,193
20110749,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1152
20110762,7,4,42,24,36.0,0.00023639264818864133,0.0005691519635742744,1467
20110770,6,5,36,30,30.0,0.00029549081023580166,0.0005691519635742744,1310
20110774,17,16,102,96,96.0,0.0009455705927545653,0.0005691519635742744,234
20110783,7,5,42,30,36.0,0.00029549081023580166,0.0005691519635742744,1311
20110785,31,28,186,168,186.0,0.0016547485373204893,0.0005691519635742744,13
20110787,28,27,168,162,162.0,0.001595650375273329,0.0005691519635742744,15
20110802,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1153
20110804,20,19,120,114,114.0,0.0011228650788960464,0.0005691519635742744,119
20110813,13,10,78,60,72.0,0.0005909816204716033,0.0005691519635742744,665
20110817,15,4,90,24,84.0,0.00023639264818864133,0.0005691519635742744,1468
20110822,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,768
20110830,18,16,108,96,102.0,0.0009455705927545653,0.0005691519635742744,235
20110838,12,10,72,60,66.0,0.0005909816204716033,0.0005691519635742744,666
20110844,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1312
20110850,17,16,102,96,96.0,0.0009455705927545653,0.0005691519635742744,236
20110880,15,9,90,54,84.0,0.000531883458424443,0.0005691519635742744,769
20110888,33,21,198,126,192.0,0.001241061402990367,0.0005691519635742744,77
20110899,19,18,114,108,108.0,0.001063766916848886,0.0005691519635742744,150
20110900,10,8,60,48,54.0,0.00047278529637728267,0.0005691519635742744,880
20110908,16,12,96,72,90.0,0.000709177944565924,0.0005691519635742744,493
20110932,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1154
20110955,9,7,54,42,48.0,0.0004136871343301223,0.0005691519635742744,1007
20110959,13,8,78,48,72.0,0.00047278529637728267,0.0005691519635742744,881
20110962,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1313
20110977,27,20,162,120,156.0,0.0011819632409432066,0.0005691519635742744,94
20110986,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1155
20110990,14,11,84,66,78.0,0.0006500797825187637,0.0005691519635742744,575
20110995,7,6,42,36,36.0,0.000354588972282962,0.0005691519635742744,1156
20111005,21,8,126,48,120.0,0.00047278529637728267,0.0005691519635742744,882
20111012,6,4,36,24,30.0,0.00023639264818864133,0.0005691519635742744,1469
20111013,20,6,120,36,114.0,0.000354588972282962,0.0005691519635742744,1157
20111016,10,9,60,54,54.0,0.000531883458424443,0.0005691519635742744,770
20111020,11,11,66,66,60.0,0.0006500797825187637,0.0005691519635742744,576
20111028,13,9,78,54,84.0,0.000531883458424443,0.0005691519635742744,771
20111033,11,3,66,18,60.0,0.000177294486141481,0.0005691519635742744,1574
20111034,19,17,114,102,108.0,0.0010046687548017257,0.0005691519635742744,194
20111040,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,883
20111044,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,1008
20111047,24,19,144,114,138.0,0.0011228650788960464,0.0005691519635742744,120
20111049,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1158
20111051,17,3,102,18,96.0,0.000177294486141481,0.0005691519635742744,1575
20111053,12,2,72,12,66.0,0.00011819632409432067,0.0005691519635742744,1655
20111057,6,4,36,24,30.0,0.00023639264818864133,0.0005691519635742744,1470
20111062,7,6,42,36,36.0,0.000354588972282962,0.0005691519635742744,1159
20111064,6,2,36,12,30.0,0.00011819632409432067,0.0005691519635742744,1656
20111066,22,16,132,96,126.0,0.0009455705927545653,0.0005691519635742744,237
20111075,32,13,192,78,186.0,0.0007682761066130844,0.0005691519635742744,435
20111082,7,2,42,12,36.0,0.00011819632409432067,0.0005691519635742744,1657
20111083,35,24,210,144,204.0,0.001418355889131848,0.0005691519635742744,35
20111088,18,6,108,36,102.0,0.000354588972282962,0.0005691519635742744,1160
20111092,8,6,48,36,42.0,0.000354588972282962,0.0005691519635742744,1161
20111098,17,12,102,72,96.0,0.000709177944565924,0.0005691519635742744,494
20111100,23,23,138,138,132.0,0.0013592577270846876,0.0005691519635742744,49
20111116,18,4,108,24,102.0,0.00023639264818864133,0.0005691519635742744,1471
20111118,7,1,42,6,36.0,5.9098162047160334e-05,0.0005691519635742744,1718
20111127,10,2,60,12,54.0,0.00011819632409432067,0.0005691519635742744,1658
20111128,16,11,96,66,90.0,0.0006500797825187637,0.0005691519635742744,577
20111133,32,11,192,66,228.0,0.0006500797825187637,0.0005691519635742744,578
20111137,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1162
20111141,29,24,174,144,198.0,0.001418355889131848,0.0005691519635742744,36
20111151,7,4,42,24,36.0,0.00023639264818864133,0.0005691519635742744,1472
20120005,10,6,60,36,54.0,0.000354588972282962,0.0005691519635742744,1163
20120011,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1314
20120013,8,4,48,24,42.0,0.00023639264818864133,0.0005691519635742744,1473
20120017,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,1009
20120024,13,9,78,54,72.0,0.000531883458424443,0.0005691519635742744,772
20120027,7,6,42,36,36.0,0.000354588972282962,0.0005691519635742744,1164
20120046,8,5,48,30,42.0,0.00029549081023580166,0.0005691519635742744,1315
20120054,9,4,54,24,48.0,0.00023639264818864133,0.0005691519635742744,1474
20120056,11,1,66,6,60.0,5.9098162047160334e-05,0.0005691519635742744,1719
20120058,15,8,90,48,84.0,0.00047278529637728267,0.0005691519635742744,884
20120068,8,3,48,18,42.0,0.000177294486141481,0.0005691519635742744,1576
20120073,9,4,54,24,48.0,0.00023639264818864133,0.0005691519635742744,1475
20120079,9,9,54,54,48.0,0.000531883458424443,0.0005691519635742744,773
20120088,10,9,60,54,54.0,0.000531883458424443,0.0005691519635742744,774
20120089,18,12,108,72,102.0,0.000709177944565924,0.0005691519635742744,495
20120090,8,8,48,48,42.0,0.00047278529637728267,0.0005691519635742744,885
20120095,5,4,30,24,24.0,0.00023639264818864133,0.0005691519635742744,1476
20120103,33,30,198,180,204.0,0.00177294486141481,0.0005691519635742744,7
20120109,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1316
