track_id,eligible_states,q95_positive_states,eligible_duration_hours,q95_positive_duration_hours,eligible_time_span_hours,equal_state_mass_fraction,equal_cyclone_mass_fraction,equal_state_contribution_rank
20100003,7,6,42,36,36.0,0.000354588972282962,0.0005691519635742744,1126
20100009,11,8,66,48,60.0,0.00047278529637728267,0.0005691519635742744,864
20100011,18,16,108,96,108.0,0.0009455705927545653,0.0005691519635742744,229
20100015,13,10,78,60,72.0,0.0005909816204716033,0.0005691519635742744,652
20100021,5,3,30,18,24.0,0.000177294486141481,0.0005691519635742744,1561
20100022,11,10,66,60,60.0,0.0005909816204716033,0.0005691519635742744,653
20100026,15,14,90,84,84.0,0.0008273742686602446,0.0005691519635742744,345
20100035,6,3,36,18,30.0,0.000177294486141481,0.0005691519635742744,1562
20100041,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,990
20100042,15,7,90,42,84.0,0.0004136871343301223,0.0005691519635742744,991
20100048,10,2,60,12,54.0,0.00011819632409432067,0.0005691519635742744,1639
20100050,16,16,96,96,90.0,0.0009455705927545653,0.0005691519635742744,230
20100056,14,9,84,54,78.0,0.000531883458424443,0.0005691519635742744,749
20100059,35,17,210,102,228.0,0.0010046687548017257,0.0005691519635742744,186
20100064,18,14,108,84,132.0,0.0008273742686602446,0.0005691519635742744,346
20100069,14,11,84,66,78.0,0.0006500797825187637,0.0005691519635742744,562
20100077,11,11,66,66,60.0,0.0006500797825187637,0.0005691519635742744,563
20100079,18,18,108,108,102.0,0.001063766916848886,0.0005691519635742744,143
20100083,18,14,108,84,102.0,0.0008273742686602446,0.0005691519635742744,347
20100087,24,5,144,30,222.0,0.00029549081023580166,0.0005691519635742744,1287
20100093,10,10,60,60,54.0,0.0005909816204716033,0.0005691519635742744,654
20100095,10,2,60,12,54.0,0.00011819632409432067,0.0005691519635742744,1640
20100102,11,11,66,66,60.0,0.0006500797825187637,0.0005691519635742744,564
20100105,14,13,84,78,78.0,0.0007682761066130844,0.0005691519635742744,419
20100108,5,4,30,24,24.0,0.00023639264818864133,0.0005691519635742744,1451
20100112,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1127
20100133,12,9,72,54,66.0,0.000531883458424443,0.0005691519635742744,750
20100135,21,20,126,120,120.0,0.0011819632409432066,0.0005691519635742744,86
20100137,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1288
20100138,6,6,36,36,30.0,0.000354588972282962,0.0005691519635742744,1128
20100144,14,13,84,78,78.0,0.0007682761066130844,0.0005691519635742744,420
20100149,19,14,114,84,108.0,0.0008273742686602446,0.0005691519635742744,348
20100158,5,4,30,24,24.0,0.00023639264818864133,0.0005691519635742744,1452
20100173,24,18,144,108,138.0,0.001063766916848886,0.0005691519635742744,144
20100192,7,3,42,18,36.0,0.000177294486141481,0.0005691519635742744,1563
20100196,29,21,174,126,168.0,0.001241061402990367,0.0005691519635742744,74
20100208,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1289
20100209,20,10,120,60,120.0,0.0005909816204716033,0.0005691519635742744,655
20100219,16,4,96,24,90.0,0.00023639264818864133,0.0005691519635742744,1453
20100222,10,1,60,6,54.0,5.9098162047160334e-05,0.0005691519635742744,1708
20100223,5,2,30,12,24.0,0.00011819632409432067,0.0005691519635742744,1641
20100234,18,18,108,108,102.0,0.001063766916848886,0.0005691519635742744,145
20100249,12,2,72,12,66.0,0.00011819632409432067,0.0005691519635742744,1642
20100257,14,6,84,36,78.0,0.000354588972282962,0.0005691519635742744,1129
20100260,16,3,96,18,90.0,0.000177294486141481,0.0005691519635742744,1564
20100269,13,13,78,78,72.0,0.0007682761066130844,0.0005691519635742744,421
20100290,23,18,138,108,144.0,0.001063766916848886,0.0005691519635742744,146
20100304,28,19,168,114,186.0,0.0011228650788960464,0.0005691519635742744,114
20100312,15,1,90,6,84.0,5.9098162047160334e-05,0.0005691519635742744,1709
20100320,7,7,42,42,36.0,0.0004136871343301223,0.0005691519635742744,992
20100321,4,4,24,24,18.0,0.00023639264818864133,0.0005691519635742744,1454
20100322,27,20,162,120,174.0,0.0011819632409432066,0.0005691519635742744,87
20100323,5,5,30,30,24.0,0.00029549081023580166,0.0005691519635742744,1290
20100328,11,11,66,66,60.0,0.0006500797825187637,0.0005691519635742744,565
