stratum,q95_positive_cyclones,q95_positive_states,maximum_equal_state_contribution,hhi_equal_state,effective_cyclones_equal_state,hhi_equal_cyclone,effective_cyclones_equal_cyclone
all,1757,16921,0.002068435671650612,0.0007758899588241126,1288.842558957115,0.0005691519635742744,1757.0
incipient,1051,2078,0.004812319538017324,0.0013033558402291386,767.2501776830135,0.0009514747859181732,1051.0
intensification,1611,7301,0.004109026160799891,0.0008827192984710644,1132.8629630416765,0.0006207324643078833,1611.0
mature,923,1821,0.0032948929159802307,0.0013591508669524893,735.7534945640116,0.0010834236186348862,923.0
decay,1296,4891,0.0036802289920261706,0.0011450186546785347,873.3482165674857,0.0007716049382716049,1296.0
