representation,bin_x_center_km,bin_y_center_km,eligible_states_total,states_with_spatial_support,evaluated_state_cells,q95_exceedance_cells,q95_state_normalized_mass,q95_probability_mass
centered,-1075.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-1025.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-975.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-925.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-875.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-825.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-775.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-725.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-675.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-625.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-575.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-525.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-475.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-425.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-375.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-325.0,-1075.0,23050,4367,4773,132,0.8968534469604492,5.3002389904577285e-05
centered,-275.0,-1075.0,23050,14298,30324,666,5.109827995300293,0.0003019814321305603
centered,-225.0,-1075.0,23050,19008,53565,1123,7.812446594238281,0.00046170124551281333
centered,-175.0,-1075.0,23050,18885,71671,1464,10.993185997009277,0.000649677065666765
centered,-125.0,-1075.0,23050,18749,84884,1684,10.738842010498047,0.0006346458103507757
centered,-75.0,-1075.0,23050,18611,93216,1799,10.125337600708008,0.000598388840444386
centered,-25.0,-1075.0,23050,18493,97083,1870,7.659416198730469,0.00045265743392519653
centered,25.0,-1075.0,23050,18359,96103,1814,6.49761438369751,0.0003839970740955323
centered,75.0,-1075.0,23050,18230,91153,1651,5.97257137298584,0.0003529679961502552
centered,125.0,-1075.0,23050,18121,81759,1504,6.763515949249268,0.00039971136720851064
centered,175.0,-1075.0,23050,18004,67823,1249,7.612910270690918,0.0004499090136960149
centered,225.0,-1075.0,23050,17866,50180,1034,8.247933387756348,0.00048743770457804203
centered,275.0,-1075.0,23050,13210,27839,537,4.7455735206604,0.00028045466751791537
centered,325.0,-1075.0,23050,3974,4309,87,0.7436369061470032,4.394757343106903e-05
centered,375.0,-1075.0,23050,0,0,0,0.0,0.0
centered,425.0,-1075.0,23050,0,0,0,0.0,0.0
centered,475.0,-1075.0,23050,0,0,0,0.0,0.0
centered,525.0,-1075.0,23050,0,0,0,0.0,0.0
centered,575.0,-1075.0,23050,0,0,0,0.0,0.0
centered,625.0,-1075.0,23050,0,0,0,0.0,0.0
centered,675.0,-1075.0,23050,0,0,0,0.0,0.0
centered,725.0,-1075.0,23050,0,0,0,0.0,0.0
centered,775.0,-1075.0,23050,0,0,0,0.0,0.0
centered,825.0,-1075.0,23050,0,0,0,0.0,0.0
centered,875.0,-1075.0,23050,0,0,0,0.0,0.0
centered,925.0,-1075.0,23050,0,0,0,0.0,0.0
centered,975.0,-1075.0,23050,0,0,0,0.0,0.0
centered,1025.0,-1075.0,23050,0,0,0,0.0,0.0
centered,1075.0,-1075.0,23050,0,0,0,0.0,0.0
centered,-1075.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-1025.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-975.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-925.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-875.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-825.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-775.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-725.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-675.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-625.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-575.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-525.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-475.0,-1025.0,23050,637,637,18,0.4588507115840912,2.711723391257692e-05
centered,-425.0,-1025.0,23050,16615,29836,680,4.438725471496582,0.00026232050731778145
centered,-375.0,-1025.0,23050,19506,69741,1487,7.602481365203857,0.00044929268187843263
centered,-325.0,-1025.0,23050,19405,99015,1983,10.928297996520996,0.0006458423449657857
centered,-275.0,-1025.0,23050,19286,101708,2040,9.39282512664795,0.0005550986970774829
centered,-225.0,-1025.0,23050,19159,100531,1949,8.826026916503906,0.0005216019926592708
centered,-175.0,-1025.0,23050,19036,100123,1842,6.853639125823975,0.00040503748459741473
centered,-125.0,-1025.0,23050,18902,99324,1783,6.552987098693848,0.000387269479688257
centered,-75.0,-1025.0,23050,18766,98431,1744,5.267801761627197,0.0003113173879683018
centered,-25.0,-1025.0,23050,18647,97748,1700,4.639336585998535,0.00027417627279646695
centered,25.0,-1025.0,23050,18511,96759,1619,4.027012825012207,0.0002379890502197668
centered,75.0,-1025.0,23050,18385,96289,1645,4.801784992218018,0.0002837766660377383
centered,125.0,-1025.0,23050,18270,95634,1647,5.395461559295654,0.000318861857522279
centered,175.0,-1025.0,23050,18148,94756,1700,5.303165435791016,0.0003134073340333998
centered,225.0,-1025.0,23050,18004,94065,1818,5.903054237365723,0.0003488596703391522
centered,275.0,-1025.0,23050,17857,93035,1839,7.240467548370361,0.0004278983105905354
centered,325.0,-1025.0,23050,17718,89463,1786,7.7041497230529785,0.00045530108036473393
centered,375.0,-1025.0,23050,17584,62099,1299,6.586393356323242,0.0003892437380272895
centered,425.0,-1025.0,23050,14766,26238,550,3.87233829498291,0.0002288480754941702
centered,475.0,-1025.0,23050,516,516,8,0.04517091065645218,2.6695176984503632e-06
centered,525.0,-1025.0,23050,0,0,0,0.0,0.0
centered,575.0,-1025.0,23050,0,0,0,0.0,0.0
centered,625.0,-1025.0,23050,0,0,0,0.0,0.0
centered,675.0,-1025.0,23050,0,0,0,0.0,0.0
centered,725.0,-1025.0,23050,0,0,0,0.0,0.0
centered,775.0,-1025.0,23050,0,0,0,0.0,0.0
centered,825.0,-1025.0,23050,0,0,0,0.0,0.0
centered,875.0,-1025.0,23050,0,0,0,0.0,0.0
centered,925.0,-1025.0,23050,0,0,0,0.0,0.0
centered,975.0,-1025.0,23050,0,0,0,0.0,0.0
centered,1025.0,-1025.0,23050,0,0,0,0.0,0.0
centered,1075.0,-1025.0,23050,0,0,0,0.0,0.0
centered,-1075.0,-975.0,23050,0,0,0,0.0,0.0
centered,-1025.0,-975.0,23050,0,0,0,0.0,0.0
centered,-975.0,-975.0,23050,0,0,0,0.0,0.0
centered,-925.0,-975.0,23050,0,0,0,0.0,0.0
centered,-875.0,-975.0,23050,0,0,0,0.0,0.0
centered,-825.0,-975.0,23050,0,0,0,0.0,0.0
centered,-775.0,-975.0,23050,0,0,0,0.0,0.0
centered,-725.0,-975.0,23050,0,0,0,0.0,0.0
centered,-675.0,-975.0,23050,0,0,0,0.0,0.0
centered,-625.0,-975.0,23050,0,0,0,0.0,0.0
centered,-575.0,-975.0,23050,230,230,3,0.0038162001874297857,2.2553041389983264e-07
centered,-525.0,-975.0,23050,18934,34291,759,4.870544910430908,0.0002878402592614293
centered,-475.0,-975.0,23050,19906,86769,1920,12.408294677734375,0.0007333073881454766
centered,-425.0,-975.0,23050,19775,103265,2139,11.550591468811035,0.0006826187018305063
centered,-375.0,-975.0,23050,19639,102962,1901,8.020942687988281,0.00047402296331711113
centered,-325.0,-975.0,23050,19535,101973,1863,6.430429458618164,0.00038002655492164195
centered,-275.0,-975.0,23050,19417,101596,1914,6.515302658081055,0.00038504242547787726
centered,-225.0,-975.0,23050,19289,100183,1752,7.45197868347168,0.0004403982311487198
centered,-175.0,-975.0,23050,19156,100018,1642,4.650901794433594,0.0002748597471509129
centered,-125.0,-975.0,23050,19032,99132,1604,4.275369167327881,0.00025266644661314785
centered,-75.0,-975.0,23050,18896,98509,1644,3.659100294113159,0.00021624610235448927
centered,-25.0,-975.0,23050,18771,97766,1582,3.179173231124878,0.0001878832990769297
centered,25.0,-975.0,23050,18632,96813,1517,3.0620181560516357,0.00018095964333042502
centered,75.0,-975.0,23050,18501,96103,1530,3.5583395957946777,0.0002102913276758045
centered,125.0,-975.0,23050,18389,95448,1557,3.2643630504608154,0.00019291785429231822
centered,175.0,-975.0,23050,18260,94638,1578,3.721200942993164,0.00021991613903082907
centered,225.0,-975.0,23050,18116,93748,1735,4.656503200531006,0.00027519077411852777
centered,275.0,-975.0,23050,17966,92909,1760,4.91963529586792,0.0002907414163928479
centered,325.0,-975.0,23050,17820,92196,1765,5.465637683868408,0.0003230091533623636
centered,375.0,-975.0,23050,17682,91123,1800,6.8988447189331055,0.00040770904161036015
centered,425.0,-975.0,23050,17567,90790,1798,6.902187347412109,0.00040790659841150045
centered,475.0,-975.0,23050,17429,74831,1535,6.877298355102539,0.00040643569082021713
centered,525.0,-975.0,23050,16378,29146,573,3.422724962234497,0.00020227675850037485
centered,575.0,-975.0,23050,218,218,4,0.0029556923545897007,1.7467598922848993e-07
centered,625.0,-975.0,23050,0,0,0,0.0,0.0
centered,675.0,-975.0,23050,0,0,0,0.0,0.0
centered,725.0,-975.0,23050,0,0,0,0.0,0.0
centered,775.0,-975.0,23050,0,0,0,0.0,0.0
centered,825.0,-975.0,23050,0,0,0,0.0,0.0
centered,875.0,-975.0,23050,0,0,0,0.0,0.0
centered,925.0,-975.0,23050,0,0,0,0.0,0.0
centered,975.0,-975.0,23050,0,0,0,0.0,0.0
centered,1025.0,-975.0,23050,0,0,0,0.0,0.0
centered,1075.0,-975.0,23050,0,0,0,0.0,0.0
centered,-1075.0,-925.0,23050,0,0,0,0.0,0.0
centered,-1025.0,-925.0,23050,0,0,0,0.0,0.0
centered,-975.0,-925.0,23050,0,0,0,0.0,0.0
centered,-925.0,-925.0,23050,0,0,0,0.0,0.0
centered,-875.0,-925.0,23050,0,0,0,0.0,0.0
centered,-825.0,-925.0,23050,0,0,0,0.0,0.0
centered,-775.0,-925.0,23050,0,0,0,0.0,0.0
centered,-725.0,-925.0,23050,0,0,0,0.0,0.0
centered,-675.0,-925.0,23050,0,0,0,0.0,0.0
centered,-625.0,-925.0,23050,12768,15123,324,1.9256398677825928,0.00011380177602404729
centered,-575.0,-925.0,23050,20323,79016,1730,10.524011611938477,0.000621949729975313
centered,-525.0,-925.0,23050,20205,105092,2209,13.201704978942871,0.0007801965111866593
centered,-475.0,-925.0,23050,20082,104370,2036,8.636895179748535,0.0005104246083647013
centered,-425.0,-925.0,23050,19943,103393,1883,7.209590911865234,0.0004260735586285591
centered,-375.0,-925.0,23050,19803,102533,1866,7.580118656158447,0.00044797107693739235
centered,-325.0,-925.0,23050,19686,101852,1748,5.841106414794922,0.00034519864129833877
centered,-275.0,-925.0,23050,19560,101559,1724,5.1340107917785645,0.00030341060482896864
centered,-225.0,-925.0,23050,19422,100550,1648,4.984033107757568,0.00029454720788635314
centered,-175.0,-925.0,23050,19273,100078,1567,4.089487075805664,0.00024168117670342326
centered,-125.0,-925.0,23050,19150,99451,1436,3.097452402114868,0.00018305375124327838
centered,-75.0,-925.0,23050,19006,98976,1439,2.8456618785858154,0.00016817338473629206
centered,-25.0,-925.0,23050,18887,98030,1373,2.1866092681884766,0.00012922458699904382
centered,25.0,-925.0,23050,18748,97095,1362,2.0880167484283447,0.00012339795648586005
centered,75.0,-925.0,23050,18615,96562,1436,2.3694283962249756,0.000140028860187158
centered,125.0,-925.0,23050,18499,95687,1477,2.355238914489746,0.00013919029152020812
centered,175.0,-925.0,23050,18372,94922,1533,2.594027042388916,0.0001533022295916453
centered,225.0,-925.0,23050,18234,93563,1505,2.8919484615325928,0.00017090883920900524
centered,275.0,-925.0,23050,18093,92942,1529,3.2952463626861572,0.00019474299915600568
centered,325.0,-925.0,23050,17951,92093,1570,3.7651236057281494,0.0002225118805654347
centered,375.0,-925.0,23050,17812,90954,1600,4.3929619789123535,0.00025961597566492856
centered,425.0,-925.0,23050,17691,90497,1602,4.943535327911377,0.00029215385438874364
centered,475.0,-925.0,23050,17564,89709,1614,5.088903427124023,0.0003007448394782841
centered,525.0,-925.0,23050,17420,89093,1744,6.7865376472473145,0.000401071913074702
centered,575.0,-925.0,23050,17282,65756,1315,5.78887414932251,0.0003421118308324367
centered,625.0,-925.0,23050,10620,12472,265,1.9867022037506104,0.00011741044727386907
centered,675.0,-925.0,23050,0,0,0,0.0,0.0
centered,725.0,-925.0,23050,0,0,0,0.0,0.0
centered,775.0,-925.0,23050,0,0,0,0.0,0.0
centered,825.0,-925.0,23050,0,0,0,0.0,0.0
centered,875.0,-925.0,23050,0,0,0,0.0,0.0
centered,925.0,-925.0,23050,0,0,0,0.0,0.0
centered,975.0,-925.0,23050,0,0,0,0.0,0.0
centered,1025.0,-925.0,23050,0,0,0,0.0,0.0
centered,1075.0,-925.0,23050,0,0,0,0.0,0.0
centered,-1075.0,-875.0,23050,0,0,0,0.0,0.0
centered,-1025.0,-875.0,23050,0,0,0,0.0,0.0
centered,-975.0,-875.0,23050,0,0,0,0.0,0.0
centered,-925.0,-875.0,23050,0,0,0,0.0,0.0
centered,-875.0,-875.0,23050,0,0,0,0.0,0.0
centered,-825.0,-875.0,23050,0,0,0,0.0,0.0
centered,-775.0,-875.0,23050,0,0,0,0.0,0.0
centered,-725.0,-875.0,23050,0,0,0,0.0,0.0
centered,-675.0,-875.0,23050,20469,39278,868,7.561445713043213,0.0004468675469979644
centered,-625.0,-875.0,23050,20600,101647,2223,13.386192321777344,0.0007910993881523609
centered,-575.0,-875.0,23050,20475,105810,2156,8.552227973937988,0.0005054209614172578
centered,-525.0,-875.0,23050,20352,105167,1947,6.102250576019287,0.00036063179140910506
centered,-475.0,-875.0,23050,20216,104080,1801,5.319775104522705,0.0003143889189232141
centered,-425.0,-875.0,23050,20078,103394,1725,4.628734588623047,0.0002735496964305639
centered,-375.0,-875.0,23050,19941,102846,1632,4.072500228881836,0.00024067728372756392
centered,-325.0,-875.0,23050,19829,102610,1585,4.28493595123291,0.0002532318467274308
centered,-275.0,-875.0,23050,19705,101783,1525,3.953535795211792,0.00023364670050796121
centered,-225.0,-875.0,23050,19561,100896,1429,3.32967209815979,0.00019677750242408365
centered,-175.0,-875.0,23050,19423,100013,1329,2.6850385665893555,0.00015868085029069334
centered,-125.0,-875.0,23050,19297,99141,1274,2.3652031421661377,0.00013977916387375444
centered,-75.0,-875.0,23050,19151,98497,1313,2.1691510677337646,0.00012819284165743738
centered,-25.0,-875.0,23050,19030,97649,1316,2.22591233253479,0.00013154733460396528
centered,25.0,-875.0,23050,18889,96634,1337,2.266057014465332,0.00013391980610322207
centered,75.0,-875.0,23050,18757,96219,1356,2.147346019744873,0.00012690419680438936
centered,125.0,-875.0,23050,18638,95425,1462,2.4306397438049316,0.00014364633534569293
centered,175.0,-875.0,23050,18505,94805,1445,2.574084520339966,0.00015212366997729987
centered,225.0,-875.0,23050,18359,94037,1445,2.223755121231079,0.00013141984527464956
centered,275.0,-875.0,23050,18211,93003,1487,2.9084839820861816,0.00017188605852425098
centered,325.0,-875.0,23050,18076,92375,1506,3.953474760055542,0.00023364309163298458
centered,375.0,-875.0,23050,17940,91639,1471,4.13057279586792,0.00024410926562268287
centered,425.0,-875.0,23050,17811,90294,1466,3.377671480178833,0.00019961418001912534
centered,475.0,-875.0,23050,17674,89461,1523,3.7998008728027344,0.00022456124133896083
centered,525.0,-875.0,23050,17529,88862,1649,4.699080944061279,0.00027770703309215605
centered,575.0,-875.0,23050,17377,88129,1811,5.596192359924316,0.0003307246952317655
centered,625.0,-875.0,23050,17204,82939,1716,7.313809394836426,0.00043223268585279584
centered,675.0,-875.0,23050,16840,31505,704,2.8924801349639893,0.00017094025679398328
centered,725.0,-875.0,23050,0,0,0,0.0,0.0
centered,775.0,-875.0,23050,0,0,0,0.0,0.0
centered,825.0,-875.0,23050,0,0,0,0.0,0.0
centered,875.0,-875.0,23050,0,0,0,0.0,0.0
centered,925.0,-875.0,23050,0,0,0,0.0,0.0
centered,975.0,-875.0,23050,0,0,0,0.0,0.0
centered,1025.0,-875.0,23050,0,0,0,0.0,0.0
centered,1075.0,-875.0,23050,0,0,0,0.0,0.0
centered,-1075.0,-825.0,23050,0,0,0,0.0,0.0
centered,-1025.0,-825.0,23050,0,0,0,0.0,0.0
centered,-975.0,-825.0,23050,0,0,0,0.0,0.0
centered,-925.0,-825.0,23050,0,0,0,0.0,0.0
centered,-875.0,-825.0,23050,0,0,0,0.0,0.0
centered,-825.0,-825.0,23050,0,0,0,0.0,0.0
centered,-775.0,-825.0,23050,502,502,15,0.07235247641801834,4.275898390915245e-06
centered,-725.0,-825.0,23050,20916,57826,1239,8.079392433166504,0.00047747723874635994
centered,-675.0,-825.0,23050,20827,106721,2328,11.176421165466309,0.0006605059606954455
centered,-625.0,-825.0,23050,20709,106248,2128,8.040907859802246,0.0004752028617076576
centered,-575.0,-825.0,23050,20576,105634,2031,6.60020637512207,0.00039006007136777043
centered,-525.0,-825.0,23050,20459,104859,1803,4.90549898147583,0.0002899059618357569
centered,-475.0,-825.0,23050,20339,104296,1674,3.8404483795166016,0.00022696344240102917
centered,-425.0,-825.0,23050,20190,103569,1690,3.779416084289551,0.00022335654648486525
centered,-375.0,-825.0,23050,20074,103136,1676,4.581541538238525,0.00027076067635789514
centered,-325.0,-825.0,23050,19961,102296,1487,3.724947690963745,0.0002201375609729439
centered,-275.0,-825.0,23050,19833,101533,1381,3.0006091594696045,0.0001773304829839617
centered,-225.0,-825.0,23050,19690,100781,1300,2.586658000946045,0.00015286673442460597
centered,-175.0,-825.0,23050,19556,100037,1303,2.0170304775238037,0.00011920279212063178
centered,-125.0,-825.0,23050,19431,99669,1293,1.7423187494277954,0.0001029678387567401
centered,-75.0,-825.0,23050,19280,98754,1328,1.8857693672180176,0.00011144550080643967
centered,-25.0,-825.0,23050,19160,98067,1345,1.7687482833862305,0.00010452977585373446
centered,25.0,-825.0,23050,19015,97066,1331,2.725072145462036,0.00016104675887618214
centered,75.0,-825.0,23050,18877,96419,1333,1.5509816408157349,9.166016388917342e-05
centered,125.0,-825.0,23050,18759,95813,1409,2.513305902481079,0.00014853176253382117
centered,175.0,-825.0,23050,18624,94820,1412,2.520157814025879,0.00014893669867888093
centered,225.0,-825.0,23050,18469,93802,1388,2.2830705642700195,0.00013492527068592608
centered,275.0,-825.0,23050,18317,92826,1379,2.2234835624694824,0.00013140379451215267
centered,325.0,-825.0,23050,18183,92020,1378,2.044426679611206,0.00012082186003681272
centered,375.0,-825.0,23050,18039,91585,1388,2.248755931854248,0.00013289734488353133
centered,425.0,-825.0,23050,17900,90401,1401,2.436812162399292,0.00014401112275663763
centered,475.0,-825.0,23050,17766,89841,1516,2.7915592193603516,0.00016497602337040007
centered,525.0,-825.0,23050,17607,88288,1620,3.307823657989502,0.00019548629643395543
centered,575.0,-825.0,23050,17452,87765,1724,3.7340846061706543,0.0002206775388913229
centered,625.0,-825.0,23050,17287,86531,1790,4.299842834472656,0.00025411281967535615
centered,675.0,-825.0,23050,17098,85437,1847,5.955714702606201,0.00035197180113755167
centered,725.0,-825.0,23050,16950,45778,988,4.565959930419922,0.0002698398311622441
centered,775.0,-825.0,23050,404,404,5,0.003366698045283556,1.989656652767735e-07
centered,825.0,-825.0,23050,0,0,0,0.0,0.0
centered,875.0,-825.0,23050,0,0,0,0.0,0.0
centered,925.0,-825.0,23050,0,0,0,0.0,0.0
centered,975.0,-825.0,23050,0,0,0,0.0,0.0
centered,1025.0,-825.0,23050,0,0,0,0.0,0.0
centered,1075.0,-825.0,23050,0,0,0,0.0,0.0
centered,-1075.0,-775.0,23050,0,0,0,0.0,0.0
centered,-1025.0,-775.0,23050,0,0,0,0.0,0.0
centered,-975.0,-775.0,23050,0,0,0,0.0,0.0
centered,-925.0,-775.0,23050,0,0,0,0.0,0.0
centered,-875.0,-775.0,23050,0,0,0,0.0,0.0
centered,-825.0,-775.0,23050,469,469,10,0.1612251102924347,9.528107511869166e-06
centered,-775.0,-775.0,23050,21135,64514,1497,9.076223373413086,0.0005363881355151534
centered,-725.0,-775.0,23050,21017,107177,2343,11.466573715209961,0.0006776534137316048
centered,-675.0,-775.0,23050,20909,106257,2169,7.761082172393799,0.00045866568689234555
centered,-625.0,-775.0,23050,20791,105962,2013,6.061459064483643,0.00035822109202854335
centered,-575.0,-775.0,23050,20663,105325,1868,4.491464138031006,0.0002654372656252235
centered,-525.0,-775.0,23050,20555,104719,1692,3.96624755859375,0.00023439794313162565
centered,-475.0,-775.0,23050,20432,103822,1678,3.8511369228363037,0.00022759511193726212
centered,-425.0,-775.0,23050,20290,103601,1668,3.513512372970581,0.00020764212240464985
centered,-375.0,-775.0,23050,20179,102695,1524,3.156076669692993,0.00018651832942850888
centered,-325.0,-775.0,23050,20059,102399,1392,2.414673328399658,0.00014270276005845517
centered,-275.0,-775.0,23050,19932,101556,1331,1.9393688440322876,0.00011461313260952011
centered,-225.0,-775.0,23050,19788,100583,1234,1.7872464656829834,0.00010562298120930791
centered,-175.0,-775.0,23050,19654,99846,1257,2.1092922687530518,0.00012465530016925186
centered,-125.0,-775.0,23050,19530,99339,1270,1.6461437940597534,9.728407167131081e-05
centered,-75.0,-775.0,23050,19381,98373,1333,1.9919458627700806,0.00011772033758461475
centered,-25.0,-775.0,23050,19255,97559,1369,1.5201854705810547,8.98401704034768e-05
centered,25.0,-775.0,23050,19107,96636,1372,1.5623184442520142,9.233014861820266e-05
centered,75.0,-775.0,23050,18969,95934,1390,1.5596905946731567,9.217485057888553e-05
centered,125.0,-775.0,23050,18847,95488,1413,1.5216221809387207,8.992507355287671e-05
centered,175.0,-775.0,23050,18714,94611,1405,1.5113039016723633,8.931528282118961e-05
centered,225.0,-775.0,23050,18561,93747,1419,2.9308009147644043,0.00017320494225714356
centered,275.0,-775.0,23050,18411,92804,1387,1.8470839262008667,0.00010915926395682618
centered,325.0,-775.0,23050,18265,91956,1349,1.6594374179840088,9.806970047065988e-05
centered,375.0,-775.0,23050,18122,90968,1349,1.7299818992614746,0.00010223875142401084
centered,425.0,-775.0,23050,17974,90163,1376,1.9472897052764893,0.00011508124589454383
centered,475.0,-775.0,23050,17840,89314,1505,2.131549835205078,0.0001259706768905744
centered,525.0,-775.0,23050,17676,88267,1663,3.0360941886901855,0.0001794275885913521
centered,575.0,-775.0,23050,17511,87351,1678,3.7687034606933594,0.00022272345086093992
centered,625.0,-775.0,23050,17353,86298,1708,3.229471445083618,0.00019085583335254341
centered,675.0,-775.0,23050,17157,85030,1704,4.060153007507324,0.00023994757793843746
centered,725.0,-775.0,23050,17003,84155,1696,4.317550182342529,0.00025515927700325847
centered,775.0,-775.0,23050,16856,50040,1047,4.604191303253174,0.0002720992488320917
centered,825.0,-775.0,23050,382,382,9,0.018293799832463264,1.0811299944180064e-06
centered,875.0,-775.0,23050,0,0,0,0.0,0.0
centered,925.0,-775.0,23050,0,0,0,0.0,0.0
centered,975.0,-775.0,23050,0,0,0,0.0,0.0
centered,1025.0,-775.0,23050,0,0,0,0.0,0.0
centered,1075.0,-775.0,23050,0,0,0,0.0,0.0
centered,-1075.0,-725.0,23050,0,0,0,0.0,0.0
centered,-1025.0,-725.0,23050,0,0,0,0.0,0.0
centered,-975.0,-725.0,23050,0,0,0,0.0,0.0
centered,-925.0,-725.0,23050,0,0,0,0.0,0.0
centered,-875.0,-725.0,23050,0,0,0,0.0,0.0
centered,-825.0,-725.0,23050,21324,58104,1419,9.199686050415039,0.0005436845240183175
centered,-775.0,-725.0,23050,21231,107202,2491,12.244248390197754,0.0007236125529743731
centered,-725.0,-725.0,23050,21111,106622,2275,8.737054824829102,0.0005163438618183136
centered,-675.0,-725.0,23050,20999,106263,2113,7.382080078125,0.0004362673789728433
centered,-625.0,-725.0,23050,20898,105529,1898,5.109755039215088,0.0003019771247636527
centered,-575.0,-725.0,23050,20772,104800,1749,3.441318988800049,0.00020337563182692975
centered,-525.0,-725.0,23050,20644,104201,1692,3.5881412029266357,0.00021205254597589374
centered,-475.0,-725.0,23050,20499,103865,1638,3.5521674156188965,0.00020992656936869025
centered,-425.0,-725.0,23050,20370,102928,1557,2.890686273574829,0.00017083424609154463
centered,-375.0,-725.0,23050,20251,102515,1509,2.218276023864746,0.00013109603605698794
centered,-325.0,-725.0,23050,20131,101945,1379,3.380946397781372,0.00019980772049166262
centered,-275.0,-725.0,23050,20005,100706,1254,2.5110278129577637,0.00014839712821412832
centered,-225.0,-725.0,23050,19863,100323,1307,1.571518898010254,9.287388093071058e-05
centered,-175.0,-725.0,23050,19727,99501,1278,1.4060112237930298,8.309268014272675e-05
centered,-125.0,-725.0,23050,19606,98911,1285,1.3192492723464966,7.796520367264748e-05
centered,-75.0,-725.0,23050,19462,98133,1381,3.51969313621521,0.0002080073900287971
centered,-25.0,-725.0,23050,19336,97335,1466,1.5277069807052612,9.02846732060425e-05
centered,25.0,-725.0,23050,19188,96420,1491,1.452330231666565,8.583004819229245e-05
centered,75.0,-725.0,23050,19051,95616,1473,1.480273723602295,8.748145774006844e-05
centered,125.0,-725.0,23050,18919,94946,1467,1.3899540901184082,8.214373519876972e-05
centered,175.0,-725.0,23050,18783,94125,1499,1.5697458982467651,9.276909986510873e-05
centered,225.0,-725.0,23050,18636,93361,1446,2.1456139087677,0.00012680183863267303
centered,275.0,-725.0,23050,18481,92459,1419,1.6157840490341187,9.548986417939886e-05
centered,325.0,-725.0,23050,18327,91584,1463,1.6577420234680176,9.796950325835496e-05
centered,375.0,-725.0,23050,18177,90610,1430,1.777685284614563,0.00010505793034099042
centered,425.0,-725.0,23050,18031,89746,1462,2.0125906467437744,0.0001189404065371491
