representation,entropy_nats,area50_km2,area75_km2,area90_km2,rms_about_centroid_km,centroid_x_km,centroid_y_km,centroid_distance_km,anisotropy_axis_ratio,occupied_bins,mass_total_state_equivalents
centered,7.341736543997044,1745000.0,2727500.0,3370000.0,774.3070332741424,-47.64938268194345,-29.83504536561143,56.219156894588735,1.005803134000893,1600,136177047.0
motion_relative,7.342525840740566,1757500.0,2740000.0,3375000.0,774.6131603253033,38.518291742660566,-34.6859931909083,51.834128934635814,1.0058475043956236,1600,136177047.0
