stratum,metric,direction_for_concentration,centered,motion_relative,difference_motion_minus_centered,ci95_low,bootstrap_median,ci95_high,probability_difference_below_zero
all,entropy_nats,lower,7.1150546566188435,7.1127623761301635,-0.0022922804886800208,-0.010500681400299071,-0.0022268295288085938,0.005730056762695308,0.682
all,area50_km2,lower,967500.0,935000.0,-32500.0,-45000.0,-32500.0,-15000.0,1.0
all,area75_km2,lower,1817500.0,1862500.0,45000.0,17500.0,42500.0,67500.0,0.0
all,area90_km2,lower,2660000.0,2757500.0,97500.0,65000.0,95000.0,123812.49999999994,0.0
all,rms_about_centroid_km,lower,672.0603931188265,679.7461695993269,7.685776480500408,5.446531842836163,7.740018348918454,9.766240152587008,0.0
all,centroid_x_km,descriptive,-112.21211081394054,-136.35521931011095,-24.143108496170413,-41.60461762385907,-24.47780128918314,-8.428957051507036,1.0
all,centroid_y_km,descriptive,189.14231932186186,-138.80491403380748,-327.94723335566937,-342.6720294434219,-327.46059154054427,-311.91988793610574,1.0
all,centroid_distance_km,descriptive,219.92356574904207,194.57530674019543,-25.34825900884664,-31.735192660457848,-25.444832067068504,-18.38680799925095,1.0
all,anisotropy_axis_ratio,descriptive,1.0374692096934086,1.022354857799833,-0.015114351893575684,-0.0413960813024665,-0.0159191774727675,0.015149656357628927,0.846
full_support,entropy_nats,lower,7.160906744190145,7.156275185394254,-0.004631558795891166,-0.012333452701568604,-0.004605531692504883,0.0031780004501342756,0.852
full_support,area50_km2,lower,1062500.0,1030000.0,-32500.0,-48812.5,-32500.0,-17500.0,1.0
full_support,area75_km2,lower,1930000.0,1965000.0,35000.0,5000.0,32500.0,58812.49999999994,0.006
full_support,area90_km2,lower,2760000.0,2840000.0,80000.0,47500.0,77500.0,107500.0,0.0
full_support,rms_about_centroid_km,lower,695.9428420117364,700.6438061179028,4.700964106166452,2.3752758330423265,4.663180089820344,6.72385359091565,0.0
full_support,centroid_x_km,descriptive,-78.55288834178351,-136.21024647626484,-57.65735813448133,-76.34191136053775,-58.097699635403984,-40.02571150486048,1.0
full_support,centroid_y_km,descriptive,175.63469293047348,-108.28172336509931,-283.9164162955728,-302.0376085511985,-283.6945969445276,-266.0561314296544,1.0
full_support,centroid_distance_km,descriptive,192.40088780361285,174.00621500406447,-18.394672799548374,-26.15142787772626,-18.32357381454416,-9.840319991763065,1.0
