stratum,metric,direction_for_concentration,centered,motion_relative,difference_motion_minus_centered,ci95_low,bootstrap_median,ci95_high,probability_difference_below_zero
full_support,anisotropy_axis_ratio,descriptive,1.0445664531119239,1.011448126870809,-0.03311832624111477,-0.0573011922722518,-0.03093104714724637,-0.0019847353181042977,0.984
incipient,entropy_nats,lower,7.160638120407645,7.189842993221921,0.029204872814275973,0.011922013759613038,0.029357433319091797,0.04641886949539183,0.0
incipient,area50_km2,lower,1072500.0,1122500.0,50000.0,15000.0,50000.0,85000.0,0.0
incipient,area75_km2,lower,1907500.0,2000000.0,92500.0,32500.0,90000.0,137500.0,0.0
incipient,area90_km2,lower,2757500.0,2837500.0,80000.0,22500.0,82500.0,142500.0,0.006
incipient,rms_about_centroid_km,lower,737.6012629837893,750.1034882060293,12.502225222239986,6.77599573649442,12.618824725930324,18.702626690983692,0.0
incipient,centroid_x_km,descriptive,-173.6869249920092,-126.50016835328228,47.18675663872693,13.353756089053967,47.76302699581443,79.42667704384219,0.004
incipient,centroid_y_km,descriptive,197.8357002890616,-185.00656978190375,-382.84227007096536,-416.1607146313141,-383.3320687313602,-344.6126992418516,1.0
incipient,centroid_distance_km,descriptive,263.2605405715852,224.11988634629276,-39.14065422529242,-56.62857658716925,-39.637026676428675,-21.438786027076638,1.0
incipient,anisotropy_axis_ratio,descriptive,1.013514840630072,1.0386178141619133,0.02510297353184132,-0.02684848774915353,0.019467937800938584,0.05294480877692295,0.224
intensification,entropy_nats,lower,7.059107407769769,7.04484769174918,-0.014259716020589508,-0.02324390411376953,-0.014413118362426758,-0.005240392684936525,1.0
intensification,area50_km2,lower,887500.0,840000.0,-47500.0,-62500.0,-47500.0,-32500.0,1.0
intensification,area75_km2,lower,1705000.0,1695000.0,-10000.0,-32500.0,-10000.0,15000.0,0.742
intensification,area90_km2,lower,2500000.0,2557500.0,57500.0,22500.0,55000.0,87500.0,0.0
intensification,rms_about_centroid_km,lower,649.9643250815866,652.3316961262469,2.367371044660331,-0.043924607492237845,2.398518485663658,4.632348593979812,0.026
intensification,centroid_x_km,descriptive,-98.9639189727499,-152.41304571128546,-53.44912673853557,-78.59110755396361,-54.385936897619295,-29.825242908058495,1.0
intensification,centroid_y_km,descriptive,197.80911221196848,-150.45292650196143,-348.2620387139299,-366.2828244071731,-347.9065994283671,-327.7812451812518,1.0
intensification,centroid_distance_km,descriptive,221.18386499139612,214.163067768453,-7.020797222943116,-13.876626444328359,-7.088843096887928,0.06309308596803015,0.974
intensification,anisotropy_axis_ratio,descriptive,1.0460421282034351,1.0547421229454192,0.00869999474198413,-0.02217025404906483,0.007709265081268457,0.03666632981435159,0.324
mature,entropy_nats,lower,6.893271524593242,6.900573015127376,0.007301490534134203,-0.008360636234283448,0.0076351165771484375,0.026344776153564446,0.166
mature,area50_km2,lower,665000.0,655000.0,-10000.0,-25000.0,-10000.0,7500.0,0.828
mature,area75_km2,lower,1400000.0,1392500.0,-7500.0,-42500.0,-10000.0,22500.0,0.722
mature,area90_km2,lower,2202500.0,2255000.0,52500.0,-6312.499999999996,47500.0,108812.49999999994,0.04
mature,rms_about_centroid_km,lower,572.205684496766,575.802801581854,3.59711708508803,-0.9499766684135181,3.710662636649488,8.80388525034816,0.058
mature,centroid_x_km,descriptive,-108.33151051971663,-152.991525749355,-44.66001522963836,-72.91829983005972,-43.38871025205471,-12.51590378308089,0.998
mature,centroid_y_km,descriptive,200.57096841985893,-155.75433217126266,-356.3253005911216,-384.39653051305606,-356.6674589928079,-330.0384391422167,1.0
mature,centroid_distance_km,descriptive,227.9570782940585,218.32503049634866,-9.632047797709845,-22.90866009819966,-9.993534850522792,2.073588447237925,0.946
mature,anisotropy_axis_ratio,descriptive,1.1190525063191419,1.0433447529685485,-0.07570775335059343,-0.11135077918328418,-0.07337189677286926,-0.03365750389122921,1.0
decay,entropy_nats,lower,7.122445667556128,7.112915212756464,-0.009530454799663524,-0.025848591327667238,-0.00939488410949707,0.0071932315826415925,0.884
decay,area50_km2,lower,962500.0,927500.0,-35000.0,-67500.0,-35000.0,-5000.0,0.99
decay,area75_km2,lower,1872500.0,1907500.0,35000.0,-20000.0,27500.0,72500.0,0.128
decay,area90_km2,lower,2732500.0,2832500.0,100000.0,41187.5,90000.0,137500.0,0.0
decay,rms_about_centroid_km,lower,688.778654633063,701.2626517038493,12.483997070786359,8.250767464146211,12.372291958805306,16.633554567625104,0.0
decay,centroid_x_km,descriptive,-106.70292776097088,-120.8674870116626,-14.164559250691724,-40.10786328682495,-14.79159477962444,12.177043499405876,0.862
decay,centroid_y_km,descriptive,174.355201439987,-98.60210308379193,-272.95730452377893,-297.5796824902237,-272.27931031009103,-243.29788656905725,1.0
decay,centroid_distance_km,descriptive,204.414410113234,155.98501257832805,-48.429397534905945,-62.48435856751823,-48.02904126829357,-33.27546912313102,1.0
decay,anisotropy_axis_ratio,descriptive,1.0226871081843172,1.034480264567049,0.011793156382731818,-0.03859081444437588,0.009221385684365813,0.052112399332411415,0.314
