phase_literal,representation,entropy_nats,area50_km2,area75_km2,area90_km2,rms_about_centroid_km,centroid_x_km,centroid_y_km,centroid_distance_km,anisotropy_axis_ratio,occupied_bins,mass_total_state_equivalents
decay,centered,7.11015563127379,940000.0,1845000.0,2707500.0,681.5561178469476,-108.97998583981231,180.71151505735367,211.02911881531858,1.025064402190791,1599,4470.000000000003
decay,motion_relative,7.10120774414924,905000.0,1875000.0,2805000.0,693.5479883734477,-130.53464286704286,-104.67841417949914,167.32263261006023,1.0317123842033586,1600,4470.000000000002
decay 2,centered,7.055601224818565,885000.0,1767500.0,2630000.0,757.5472716164793,-82.52600301028475,106.86633000973714,135.02204880168117,1.0551668743052112,1582,421.0
decay 2,motion_relative,7.0318845270535935,822500.0,1725000.0,2632500.0,768.0740281603009,-18.225598571463305,-34.08622954825265,38.65285873133186,1.085111199089174,1584,421.0
incipient,centered,7.160638033427542,1072500.0,1907500.0,2757500.0,737.6012593527491,-173.6869121635889,197.83569379590796,263.2605272285051,1.0135148391110995,1592,2078.0
incipient,motion_relative,7.189842809675957,1122500.0,2000000.0,2837500.0,750.1034795833023,-126.50015613453778,-185.0065479201208,224.11986140318396,1.0386178277049027,1592,2077.9999999999995
intensification,centered,7.055198505948011,882500.0,1695000.0,2490000.0,648.6483768150082,-97.47892826702572,200.08693015284086,222.56891309002648,1.0482072467053727,1599,7094.999999999989
intensification,motion_relative,7.040756106894952,832500.0,1687500.0,2547500.0,650.8778007838968,-154.5999346304938,-150.93599270646638,216.06205979310533,1.0544211194747144,1599,7094.999999999989
intensification 2,centered,6.9479194232889405,740000.0,1567500.0,2420000.0,687.2312603188516,-150.10923329863786,119.3572738248184,191.77836357732738,1.1434020361874202,1580,205.99999999999994
intensification 2,motion_relative,6.96568955445893,762500.0,1607500.0,2465000.0,696.1835397184561,-77.09277190847058,-133.8150214087844,154.4336603048859,1.0628092695656557,1577,205.99999999999994
mature,centered,6.894139320778328,667500.0,1402500.0,2202500.0,572.6123342340882,-105.23758590285769,201.1457929247352,227.0122893104728,1.115755983398327,1587,1788.000000000001
mature,motion_relative,6.899261258254084,655000.0,1390000.0,2245000.0,575.6361682943308,-153.39640581653228,-156.09857626877974,218.85434158492333,1.0423953353342337,1592,1788.0000000000007
mature 2,centered,6.443432741033487,377500.0,882500.0,1607500.0,522.0980987682609,-275.9662645575372,169.42539595567382,323.824557389611,1.3462464305043407,1235,33.0
mature 2,motion_relative,6.515742433677371,420000.0,947500.0,1727500.0,584.0379301968668,-131.05484865925519,-137.1029667404858,189.6644322115853,1.1000653809902408,1319,32.99999999999999
missing,centered,7.162136592785073,1057500.0,2012500.0,2875000.0,783.6412411149105,-114.47920567621465,175.61734264247113,209.63525364084202,1.085855196364271,1586,627.9999999999999
missing,motion_relative,7.175996287117125,1085000.0,2060000.0,2905000.0,796.2898112804036,-96.96599137139096,-118.04220552682898,152.7624488160451,1.041926648317624,1590,628.0
residual,centered,6.951344168373818,737500.0,1582500.0,2512500.0,743.9108044024177,-119.97684550362273,83.52171340541739,146.1859092634336,1.0785053500364274,1574,202.0
residual,motion_relative,6.959028048238016,702500.0,1637500.0,2595000.0,747.3230438172469,-4.835873450472583,-127.70072285126369,127.79225441615876,1.1457422621694067,1577,202.0
