quantile,translation_speed_kmh
0.0,0.3106645739536404
0.001,1.6721824822207982
0.005,3.2267301908327655
0.01,4.545036437065068
0.025,7.244805892506319
0.05,10.376102785805974
0.1,15.294349438047291
0.25,26.627915326897433
0.5,42.682407879958035
0.75,60.585130418582935
0.9,78.00212351278812
0.95,88.43365354404678
0.99,108.13268968652905
1.0,150.89215252518608
