coordinate_system,quadrant,point_row_count,wind_mean_ms,wind_p05_ms,wind_p25_ms,wind_median_ms,wind_p75_ms,wind_p95_ms,exceeded_15_6_count,exceeded_20_0_count,exceeded_25_0_count,exceeded_q90_count,exceeded_q95_count,exceeded_q99_count
fixed,1,6625941,13.59441455104462,5.5978312492370605,11.774714469909668,14.500349044799805,16.11460304260254,18.81296157836914,2155027,143095,2373,6623598,3815196,1026275
fixed,2,5286615,13.948714472097734,6.574774265289307,12.447891235351562,14.472600936889648,15.929093360900879,18.337818145751953,1599954,71952,1535,5286168,2728155,555541
fixed,3,2422472,14.700919283658044,10.663284301757812,13.706257820129395,14.895038604736328,16.086912155151367,18.25043296813965,825834,25481,240,2422275,1166206,212785
fixed,4,2847955,14.16579014083984,6.6310858726501465,13.159588813781738,14.708562850952148,16.06025505065918,18.54055404663086,928049,47402,302,2837538,1449285,325994
rotated,1,4824063,14.071395072703078,7.022305011749268,12.72912311553955,14.584179878234863,15.958967208862305,18.228626251220703,1499107,52395,464,4823545,2464338,478361
rotated,2,2030610,14.430045335097594,8.082297325134277,13.524789810180664,14.775318145751953,15.970318794250488,18.158451080322266,644793,20992,222,2029157,952791,174092
rotated,3,3407552,13.917013543249295,6.105989456176758,12.841293334960938,14.655424118041992,16.005144119262695,18.50428009033203,1081144,57566,732,3398275,1745603,398630
rotated,4,6920758,13.75099838533746,5.824536323547363,12.012838363647461,14.514774322509766,16.16016960144043,18.87870979309082,2283820,156977,3032,6918602,3996110,1069512
